"情境ID","情境名稱","情境目標(客語)","情境目標(華語)","節點ID","節點標題","節點類型","地點標籤","客語引導語(題目)","華語引導語(題目)","目標客語句","目標華語句","客語關鍵詞","華語關鍵詞","NPC角色","NPC頭像","通關NPC回應","華語通關回應","重試NPC回應","華語重試回應"
"hakka_food","客家美食點餐","在熱鬧的客家小吃店，向老闆點餐、確認客製化需求，最後到收銀機前結帳並說出評價。菜單與客製化選項可由 UI 或 LLM 替換。","在熱鬧的傳統小吃店，向老闆點餐、確認客製化需求，最後到收銀機前結帳並說出評價。菜單與客製化選項可由 UI 或 LLM 替換。","food_step3","步驟 3：結帳時說出評價","集合點","小吃店收銀櫃檯","吃飽後，你來到收銀機前拿出錢包準備結帳。老闆娘手拿帳單，親切問你今天吃得如何。你可以說喜歡或不喜歡。你說：","吃飽後，你來到收銀機前拿出錢包準備結帳。老闆娘手拿帳單，親切問你今天吃得如何。你可以說喜歡或不喜歡。你說：","這碗湯粄條當好食，恁仔細老闆娘！","這道粄條真好吃，謝謝老闆娘！","當好食、好食、恁仔細、太鹹","真好吃、好吃、謝謝老闆娘、不好吃、不喜歡","老闆娘","👩‍🍳","「謝謝你說出感覺！一共是五十元，很高興合你的胃口，歡迎下次再來喔！」","「謝謝你說出感覺！一共是五十元，很高興合你的胃口，歡迎下次再來喔！」","「老闆娘拿著帳單親切問：『吃飽準備結帳囉！今天餐點吃得習慣嗎？可以跟老闆娘分享你的感覺喔！』」","「老闆娘拿著帳單親切問：『吃飽準備結帳囉！今天餐點吃得習慣嗎？可以跟老闆娘分享你的感覺喔！』」"
"field_trip_pack","校外教學打包","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品用客語裝入背包，並於玄關集合。","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品裝入背包，並於玄關集合。","umbrella","任務一：背包 4 項整理 - 雨傘","背包收集項目","臥室書桌前","你看見雨傘，請說出它的名字，以及為什麼校外教學要帶它。你說：","你看見雨傘，請說出它的名字，以及為什麼校外教學要帶它。你說：","𠊎愛帶遮仔，落雨做得用。","我要帶雨傘，下雨可以用。","遮仔、落雨、用","我要帶、雨傘、下雨、可以用","媽媽","👩","「真乖！下雨時就不怕淋濕了，放進書包側邊吧！」","「真乖！下雨時就不怕淋濕了，放進書包側邊吧！」","「媽媽叮嚀：『書桌上的雨傘要記得收進去喔，出門下雨才不會淋濕，快收好跟媽媽說！』」","「媽媽叮嚀：『書桌上的雨傘要記得收進去喔，出門下雨才不會淋濕，快收好跟媽媽說！』」"
"field_trip_pack","校外教學打包","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品用客語裝入背包，並於玄關集合。","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品裝入背包，並於玄關集合。","bottle","任務一：背包 4 項整理 - 水壺","背包收集項目","廚房飲水機旁","你看見水壺，請說出它的名字，以及為什麼校外教學要帶它。你說：","你看見水壺，請說出它的名字，以及為什麼校外教學要帶它。你說：","𠊎愛帶水壺，嘴渴做得啉水。","我要帶水壺，口渴可以喝水。","水壺、嘴渴、啉水","我要帶、水壺、口渴、喝水","媽媽","👩","「很好！水壺裝滿溫水放好，走路流汗要多補充水分喔！」","「很好！水壺裝滿溫水放好，走路流汗要多補充水分喔！」","「媽媽提醒：『水壺裝好溫水了嗎？健行走路要多補充水分，快收好跟媽媽說！』」","「媽媽提醒：『水壺裝好溫水了嗎？健行走路要多補充水分，快收好跟媽媽說！』」"
"field_trip_pack","校外教學打包","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品用客語裝入背包，並於玄關集合。","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品裝入背包，並於玄關集合。","towel","任務一：背包 4 項整理 - 毛巾","背包收集項目","客廳收納櫃前","你看見乾淨毛巾，請說出它的名字，以及為什麼校外教學要帶它。你說：","你看見乾淨毛巾，請說出它的名字，以及為什麼校外教學要帶它。你說：","𠊎愛帶毛巾，流汗做得拭汗。","我要帶毛巾，流汗可以擦汗。","毛巾、流汗、拭汗","我要帶、毛巾、流汗、擦汗","爸爸","👨","「很細心！活動後把汗擦乾，比較不會著涼感冒。」","「很細心！活動後把汗擦乾，比較不會著涼感冒。」","「爸爸笑著說：『活動流汗要記得帶毛巾擦乾才不會著涼喔，收好跟爸爸說一聲！』」","「爸爸笑著說：『活動流汗要記得帶毛巾擦乾才不會著涼喔，收好跟爸爸說一聲！』」"
"field_trip_pack","校外教學打包","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品用客語裝入背包，並於玄關集合。","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品裝入背包，並於玄關集合。","snack","任務一：背包 4 項整理 - 點心","背包收集項目","點心餅乾盒前","你看見美味點心餅乾，請說出它的名字，以及為什麼校外教學要帶它。你說：","你看見美味點心餅乾，請說出它的名字，以及為什麼校外教學要帶它。你說：","𠊎愛帶點心，肚屎枵做得食。","我要帶點心，肚子餓可以吃。","點心、肚屎枵、食","我要帶、點心、肚子餓、吃","爸爸","👨","「沒錯！健行休息肚子餓時，可以吃點心補充元氣！」","「沒錯！健行休息肚子餓時，可以吃點心補充元氣！」","「爸爸提醒：『健行如果走累了肚子餓，點心餅乾很重要喔，放進背包跟爸爸說！』」","「爸爸提醒：『健行如果走累了肚子餓，點心餅乾很重要喔，放進背包跟爸爸說！』」"
"field_trip_pack","校外教學打包","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品用客語裝入背包，並於玄關集合。","在出發前對照清單，以自由順序將雨傘、水壺、毛巾、點心 4 樣物品裝入背包，並於玄關集合。","pack_done","任務二：完成整理：玄關出發","集合點","玄關大門口","4 樣物品都順利放進背包了！你背起背包走到玄關，精神飽滿地向家人說：","4 樣物品都順利放進背包了！你背起背包走到玄關，精神飽滿地向家人說：","𠊎東西都收好，準備好出發了！","我東西都收好了，準備好出發了！","收好、出發","東西、收好了、準備好、出發","媽媽","👩","「太棒了！裝備齊全，今天校外教學一定會非常順利又開心！」","「太棒了！裝備齊全，今天校外教學一定會非常順利又開心！」","「媽媽在玄關笑著問：『東西都檢查齊全了嗎？準備好我們就要出發囉！』」","「媽媽在玄關笑著問：『東西都檢查齊全了嗎？準備好我們就要出發囉！』」"
"bus_directions","搭車與街頭問路","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","bus_choose_dest","步驟 1：向路人詢問目的地公車路線","選擇","市區公車站牌","你站在熱鬧的市區公車站前，看著站牌。請看上方提示，開口向路人詢問你想去的目的地公車路線（如文化園區、學校或圖書館）：","你站在熱鬧的市區公車站前，看著站牌。請看上方提示，開口向路人詢問你想去的目的地公車路線（如文化園區、學校或圖書館）：","請問去文化園區愛坐哪一路公車？","請問去文化園區要搭哪一路公車？","文化園區、學校、圖書館","文化園區、學校、圖書館","路人","🧍","「選好目的地後，我會告訴你搭哪一路公車喔！」","「選好目的地後，我會告訴你搭哪一路公車喔！」","「路人熱心問：『同學，你要去文化園區、學校還是圖書館呢？告訴我我幫你看公車路線！』」","「路人熱心問：『同學，你要去文化園區、學校還是圖書館呢？告訴我我幫你看公車路線！』」"
"bus_directions","搭車與街頭問路","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","bus_ask_culture","步驟 2：向巡邏站務員確認 802 公車","分支","802 站牌前","你來到 802 站牌前，向巡邏站務員禮貌確認去文化園區是不是搭 802 公車。你說：","你來到 802 站牌前，向巡邏站務員禮貌確認去文化園區是不是搭 802 公車。你說：","請問站務員，去文化園區係坐 802 公車無？","請問站務員，文化園區是搭 802 公車嗎？","文化園區、802、公車","文化園區、802、公車","站務人員","👮","「對！802 路公車馬上進站了，請在黃線後方排隊上車喔！」","「對！802 路公車馬上進站了，請在黃線後方排隊上車喔！」","「站務員指著站牌：『同學，去文化園區要搭哪一路公車呢？看清楚站牌再跟我確認一次喔！』」","「站務員指著站牌：『同學，去文化園區要搭哪一路公車呢？看清楚站牌再跟我確認一次喔！』」"
"bus_directions","搭車與街頭問路","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","bus_ask_school","步驟 2：向巡邏站務員確認 615 公車","分支","學校線站牌前","你來到 615 站牌前，向巡邏站務員禮貌確認去學校是不是搭 615 公車。你說：","你來到 615 站牌前，向巡邏站務員禮貌確認去學校是不是搭 615 公車。你說：","請問站務員，去學校係坐 615 公車無？","請問站務員，學校是搭 615 公車嗎？","學校、615、公車","學校、615、公車","站務人員","👮","「對！615 路公車馬上進站了，請在黃線後方排隊上車喔！」","「對！615 路公車馬上進站了，請在黃線後方排隊上車喔！」","「站務員指著站牌：『同學，去學校要搭哪一路公車呢？看清楚站牌再跟我確認一次喔！』」","「站務員指著站牌：『同學，去學校要搭哪一路公車呢？看清楚站牌再跟我確認一次喔！』」"
"bus_directions","搭車與街頭問路","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","bus_ask_library","步驟 2：向巡邏站務員確認 306 公車","分支","圖書館線站牌前","你來到 306 站牌前，向巡邏站務員禮貌確認去圖書館是不是搭 306 公車。你說：","你來到 306 站牌前，向巡邏站務員禮貌確認去圖書館是不是搭 306 公車。你說：","請問站務員，去圖書館係坐 306 公車無？","請問站務員，圖書館是搭 306 公車嗎？","圖書館、306、公車","圖書館、306、公車","站務人員","👮","「對！306 路公車馬上進站了，請在黃線後方排隊上車喔！」","「對！306 路公車馬上進站了，請在黃線後方排隊上車喔！」","「站務員指著站牌：『同學，去圖書館要搭哪一路公車呢？看清楚站牌再跟我確認一次喔！』」","「站務員指著站牌：『同學，去圖書館要搭哪一路公車呢？看清楚站牌再跟我確認一次喔！』」"
"bus_directions","搭車與街頭問路","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","先向路人詢問想去目的地的公車路線，再向巡邏站務員確認搭乘公車；下車後看著公車站路口地圖，回答也想去同一目的地的阿婆。","bus_arrive","步驟 3：下車後回答阿婆怎麼走","集合點","公車站旁十字路口地圖前","下車後，旁邊的阿婆也想去你的目的地，她問你怎麼走。你看著公車站路口地圖回答她。你說：","下車後，旁邊的阿婆也想去你的目的地，她問你怎麼走。你看著公車站路口地圖回答她。你說：","文化園區係向北行一個紅綠燈，再向正手邊行一個紅綠燈，文化園區就喺你个倒手前。","文化園區是往北方走一個紅綠燈，再往右邊走一個紅綠燈，然後文化園區就在你的左前方。","文化園區、北方、一個紅綠燈、右邊、左前方","文化園區、北方、一個紅綠燈、右邊、左前方","熱心阿婆","👵","「哎唷～聽你恁樣講好清楚喔，恁仔細喔小朋友！」","「哎唷～聽你這樣說好清楚喔，謝謝你呀小朋友！」","「阿婆笑等講：『欸，𠊎無聽清楚，你再講慢一息、摎𠊎講愛仰般行好無？』」","「阿婆笑著說：『欸，我沒聽清楚，你再講慢一點、跟我說怎麼走好嗎？』」"
"health_center","健康中心求助","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","health_choose_symptom","步驟 1：向護理師表達不適","選擇","學校健康中心諮詢桌","你走進安靜的健康中心，護理師溫柔地問你哪裡不舒服。請看上方提示，開口說明你的狀況（如頭痛肚子痛、膝蓋擦傷或身體發熱）：","你走進安靜的健康中心，護理師溫柔地問你哪裡不舒服。請看上方提示，開口說明你的狀況（如頭痛肚子痛、膝蓋擦傷或身體發熱）：","護理師，𠊎頭那痛、肚痛。","護理師，我頭痛、肚子痛。","頭那痛、擦傷、身體當燒","頭痛肚子痛、膝蓋擦傷、身體發熱","護理師","👩‍⚕️","「慢慢說，哪裡不舒服都可以告訴我喔。」","「慢慢說，哪裡不舒服都可以告訴我喔。」","「護理師溫柔地問：『小朋友，看你臉色不太對，是頭痛肚子痛、跌倒擦傷還是身體發熱呢？』」","「護理師溫柔地問：『小朋友，看你臉色不太對，是頭痛肚子痛、跌倒擦傷還是身體發熱呢？』」"
"health_center","健康中心求助","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","health_symptom_head","步驟 2：說明頭痛肚子痛","分支","學校健康中心諮詢桌","你向護理師詳細說明頭暈腦脹與肚子陣陣絞痛的情形。你說：","你向護理師詳細說明頭暈腦脹與肚子陣陣絞痛的情形。你說：","護理師，𠊎頭那痛、肚痛。","護理師，我頭痛、肚子痛。","護理師、頭那痛、肚痛","護理師、頭痛、肚子痛","護理師","👩‍⚕️","「我知道了，先坐下來量體溫，阿姨倒一杯溫開水給你喝喔。」","「我知道了，先坐下來量體溫，阿姨倒一杯溫開水給你喝喔。」","「護理師輕聲問：『是頭暈腦脹還是肚子陣陣在痛呢？坐下來慢慢跟阿姨說清楚喔。』」","「護理師輕聲問：『是頭暈腦脹還是肚子陣陣在痛呢？坐下來慢慢跟阿姨說清楚喔。』」"
"health_center","健康中心求助","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","health_symptom_scratch","步驟 2：說明跑步跌倒擦傷","分支","傷口擦藥床位","護理師注意到你的膝蓋有紅紅擦傷，你跟護理師解釋剛剛體育課跑步太快跌倒了。你說：","護理師注意到你的膝蓋有紅紅擦傷，你跟護理師解釋剛剛體育課跑步太快跌倒了。你說：","體育課跑太遽，𠊎腳跌倒痛痛。","體育課跑太快，我腳跌倒痛痛。","體育課、跑太遽、跌倒","體育課、跑太快、跌倒、痛痛","護理師","👩‍⚕️","「不要緊喔！阿姨幫你擦消炎藥、貼上透氣紗布，很快就不會痛了。」","「不要緊喔！阿姨幫你擦消炎藥、貼上透氣紗布，很快就不會痛了。」","「護理師看著你的膝蓋：『哎呀膝蓋紅紅的，剛剛體育課是怎麼受傷的呢？跟阿姨說。』」","「護理師看著你的膝蓋：『哎呀膝蓋紅紅的，剛剛體育課是怎麼受傷的呢？跟阿姨說。』」"
"health_center","健康中心求助","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","health_symptom_fever","步驟 2：說明身體發熱無力","分支","量體溫區","你覺得身體熱熱的，全身沒有力氣，向護理師說明。你說：","你覺得身體熱熱的，全身沒有力氣，向護理師說明。你說：","𠊎身體當燒，無麼个力。","我身體很熱，沒有什麼力氣。","身體、當燒、無力","身體、很熱、沒有力氣、發燒","護理師","👩‍⚕️","「我先幫你量耳溫，稍微有一點發燒，先在床上躺著休息一節課喔。」","「我先幫你量耳溫，稍微有一點發燒，先在床上躺著休息一節課喔。」","「護理師摸摸你的額頭：『額頭稍微有點溫溫的，身體還有哪裡覺得熱熱沒力氣嗎？』」","「護理師摸摸你的額頭：『額頭稍微有點溫溫的，身體還有哪裡覺得熱熱沒力氣嗎？』」"
"health_center","健康中心求助","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","看提示口說向護理師清楚描述症狀，配合擦藥休息並禮貌道謝。","health_rest","步驟 3：承諾休息叮嚀與致謝","集合點","健康中心休息區","護理師細心幫你照護完後，叮嚀你今天不要勉強運動，要多喝水好好休息。你答應她並道謝。你說：","護理師細心幫你照護完後，叮嚀你今天不要勉強運動，要多喝水好好休息。你答應她並道謝。你說：","𠊎會多啉水、好好歇睏，恁仔細！","我會多喝水、好好休息，謝謝您！","多啉水、歇睏、恁仔細","多喝水、好好休息、謝謝","護理師","👩‍⚕️","「真懂事！先在病床上躺著休息一節課，身體很快就會恢復元氣囉！」","「真懂事！先在病床上躺著休息一節課，身體很快就會恢復元氣囉！」","「護理師叮嚀：『阿姨幫你擦好藥了，今天不要劇烈運動，要答應阿姨多喝水好好休息喔！』」","「護理師叮嚀：『阿姨幫你擦好藥了，今天不要劇烈運動，要答應阿姨多喝水好好休息喔！』」"
